
=== MEAN TABLE: CEC 2014 ===
Function                     MSDBO           DBO            AO           MGO           FFO          AVOA           NGO           ZOA       CoatiOA
--------------------------------------------------------------------------------------------------------------------------------------------------
CEC2014_F1              1.4400e+04    3.9097e+05    2.3089e+05    1.1051e+05    1.3274e+06    3.4010e+05    6.4140e+04    1.1584e+06    1.6200e+05
CEC2014_F2              4.4101e+04    9.9483e+05    6.6898e+05    2.2000e+05    3.0630e+06    6.8500e+05    2.8794e+05    1.9357e+06    3.7509e+05
CEC2014_F3              6.1461e+04    2.8800e+06    3.0032e+06    1.0118e+06    1.3187e+07    1.4193e+06    7.1091e+05    3.7885e+06    8.8105e+05
CEC2014_F4              4.3988e+02    9.4972e+02    5.1203e+02    4.6581e+02    1.2170e+03    6.2754e+02    4.5204e+02    1.3110e+03    5.3839e+02
CEC2014_F5              5.1688e+02    1.3553e+03    6.1779e+02    6.0030e+02    7.7441e+02    7.9762e+02    5.8508e+02    9.8805e+02    7.7448e+02
CEC2014_F6              6.4495e+02    1.6864e+03    7.1729e+02    8.4326e+02    1.1674e+03    1.4767e+03    6.6558e+02    2.2036e+03    9.2020e+02
CEC2014_F7              7.3095e+02    1.7398e+03    8.9514e+02    9.1087e+02    1.6867e+03    1.3641e+03    8.4023e+02    3.7439e+03    1.1202e+03
CEC2014_F8              8.5396e+02    2.7109e+03    1.4907e+03    1.0209e+03    2.3463e+03    2.2268e+03    1.0159e+03    2.8512e+03    1.6293e+03
CEC2014_F9              9.9069e+02    3.2705e+03    1.2321e+03    2.1537e+03    2.7642e+03    1.5579e+03    1.1989e+03    4.2199e+03    1.5132e+03
CEC2014_F10             1.1394e+03    3.1312e+03    1.6395e+03    1.5371e+03    3.0840e+03    2.1547e+03    1.2699e+03    5.0200e+03    1.7782e+03
CEC2014_F11             1.2731e+03    6.0383e+03    1.8059e+03    2.3985e+03    2.9262e+03    3.5345e+03    1.5492e+03    5.9503e+03    3.3991e+03
CEC2014_F12             1.4137e+03    4.2337e+03    2.0706e+03    2.2070e+03    5.6462e+03    7.7403e+03    1.7920e+03    1.2508e+04    3.5506e+03
CEC2014_F13             1.7327e+03    1.1566e+04    3.8161e+03    3.0873e+03    6.1123e+03    1.0734e+04    2.1111e+03    8.2615e+03    4.2877e+03
CEC2014_F14             1.9452e+03    1.5845e+04    3.2423e+03    5.0533e+03    8.3852e+03    1.0634e+04    2.2335e+03    1.2713e+04    4.3982e+03
CEC2014_F15             1.8681e+03    9.6024e+03    5.7391e+03    4.3409e+03    1.1877e+04    1.0463e+04    3.3609e+03    2.0202e+04    5.9052e+03
CEC2014_F16             3.1242e+03    1.2576e+04    4.3359e+03    5.1868e+03    2.0936e+04    2.0796e+04    3.6347e+03    4.4896e+04    6.7107e+03
CEC2014_F17             1.8861e+03    4.2337e+03    3.2969e+03    2.5932e+03    5.0048e+03    3.8243e+03    2.3065e+03    5.2144e+03    3.3373e+03
CEC2014_F18             1.9912e+03    5.5573e+03    3.6001e+03    2.7402e+03    9.4067e+03    7.2401e+03    2.4804e+03    5.6945e+03    3.6349e+03
CEC2014_F19             2.3425e+03    1.1038e+04    4.8306e+03    2.9884e+03    1.0574e+04    9.2288e+03    3.9574e+03    1.3213e+04    5.5994e+03
CEC2014_F20             2.7621e+03    1.2387e+04    5.6810e+03    4.2192e+03    5.6288e+03    1.1978e+04    3.4729e+03    1.3715e+04    4.8859e+03
CEC2014_F21             3.6019e+03    2.1513e+04    5.8818e+03    9.2900e+03    1.8679e+04    1.3958e+04    4.4687e+03    1.8039e+04    1.4718e+04
CEC2014_F22             3.8804e+03    2.4293e+04    9.6448e+03    5.2698e+03    1.6732e+04    2.4630e+04    6.2577e+03    2.8191e+04    8.7447e+03
CEC2014_F23             2.6660e+03    3.1880e+03    3.1523e+03    2.5247e+03    3.3156e+03    3.1302e+03    2.8673e+03    3.7804e+03    3.5338e+03
CEC2014_F24             2.6874e+03    3.3672e+03    2.7709e+03    3.6563e+03    4.3488e+03    3.8647e+03    2.7586e+03    3.5534e+03    3.4978e+03
CEC2014_F25             3.1203e+03    3.8020e+03    3.6251e+03    3.3253e+03    4.6425e+03    4.1703e+03    2.8413e+03    3.4896e+03    3.0183e+03
CEC2014_F26             3.3341e+03    4.8199e+03    3.7527e+03    3.7080e+03    5.0022e+03    5.0569e+03    3.1739e+03    5.4923e+03    3.8419e+03
CEC2014_F27             3.5235e+03    4.3887e+03    3.9590e+03    3.5922e+03    6.5111e+03    5.7445e+03    3.3990e+03    5.2396e+03    4.5975e+03
CEC2014_F28             3.5633e+03    6.1939e+03    4.4238e+03    4.4979e+03    5.8154e+03    6.1823e+03    4.1123e+03    6.1843e+03    5.8674e+03
CEC2014_F29             4.3823e+03    5.8315e+03    4.5658e+03    4.3019e+03    7.9244e+03    6.2687e+03    4.1195e+03    4.2438e+03    4.1646e+03
CEC2014_F30             4.6018e+03    5.6950e+03    5.0811e+03    6.3255e+03    7.2784e+03    1.2271e+04    4.7234e+03    6.5916e+03    8.1098e+03
