
=== STD TABLE: CEC 2017 ===
Function                     MSDBO           DBO            AO           MGO           FFO          AVOA           NGO           ZOA       CoatiOA
--------------------------------------------------------------------------------------------------------------------------------------------------
CEC2017_F1              3.3929e+03    2.1025e+05    1.1940e+05    7.5163e+04    3.4865e+06    2.4281e+05    1.9263e+04    5.8212e+05    1.1578e+05
CEC2017_F2              2.0263e+04    2.0324e+06    4.5953e+05    2.0685e+05    2.5973e+06    4.8159e+05    1.2472e+05    1.7465e+06    4.2043e+05
CEC2017_F3              7.6191e+04    1.7524e+06    8.6382e+05    3.5918e+05    8.0569e+06    2.0442e+06    4.7059e+05    5.4457e+06    7.2565e+05
CEC2017_F4              4.2176e+00    5.5352e+02    5.9343e+01    5.9000e+01    2.6818e+02    1.3149e+02    1.8933e+01    8.6291e+02    2.0710e+02
CEC2017_F5              1.7328e+01    8.0288e+02    1.0995e+02    1.2493e+02    6.9285e+02    2.8408e+02    2.4243e+01    7.2496e+02    3.0072e+02
CEC2017_F6              1.1532e+01    5.6763e+02    1.1895e+02    1.3402e+02    1.0745e+03    6.8301e+02    7.3819e+01    4.0463e+03    3.0722e+02
CEC2017_F7              1.2013e+01    9.7888e+02    4.1462e+02    1.7148e+02    5.8151e+02    9.0093e+02    2.4609e+02    3.2262e+03    6.5408e+02
CEC2017_F8              2.0205e+01    2.4962e+03    5.0889e+02    2.1342e+02    1.1075e+03    5.5626e+02    1.3230e+02    5.6357e+03    9.7561e+02
CEC2017_F9              8.9268e+01    3.8240e+03    8.5110e+02    5.5485e+02    3.2286e+03    1.4328e+03    3.4609e+02    3.2866e+03    7.2047e+02
CEC2017_F10             1.3042e+02    5.7029e+03    2.4927e+03    3.1577e+02    4.9343e+03    3.0895e+03    2.2771e+02    5.6573e+03    1.7383e+03
CEC2017_F11             1.0755e+02    5.3643e+03    1.4275e+03    4.2997e+02    8.4165e+03    1.6516e+03    4.1969e+02    7.6010e+03    8.1632e+02
CEC2017_F12             1.1675e+02    4.2655e+03    9.6169e+02    5.9881e+02    8.4635e+03    4.2899e+03    9.5325e+02    1.2931e+04    5.2114e+03
CEC2017_F13             3.3014e+02    5.5764e+03    1.6685e+03    2.2837e+03    1.5660e+04    1.2578e+04    1.5152e+03    1.5500e+04    4.1344e+03
CEC2017_F14             2.8543e+02    2.4650e+04    3.1301e+03    2.5003e+03    9.9989e+03    2.1850e+04    2.0423e+03    2.0400e+04    5.5929e+03
CEC2017_F15             1.0640e+03    2.8197e+04    8.9683e+03    3.6901e+03    2.4025e+04    1.4736e+04    2.6746e+03    3.7076e+04    7.8939e+03
CEC2017_F16             1.8321e+03    3.1233e+04    7.9103e+03    3.8881e+03    2.3386e+04    1.2116e+04    9.5871e+03    9.6310e+04    6.3223e+03
CEC2017_F17             2.8656e+02    3.7257e+03    1.8627e+03    1.4161e+03    3.7175e+03    1.8153e+03    8.0327e+02    2.6021e+03    2.9231e+03
CEC2017_F18             6.4951e+02    9.2070e+03    1.9919e+03    2.5907e+03    5.0550e+03    4.1688e+03    1.1572e+03    1.0542e+04    2.3793e+03
CEC2017_F19             5.4327e+02    8.5285e+03    2.2675e+03    4.7204e+03    1.0214e+04    8.9401e+03    1.1909e+03    1.1610e+04    9.6779e+03
CEC2017_F20             1.0156e+03    6.8268e+03    7.1543e+03    5.3298e+03    1.0612e+04    1.0215e+04    3.2077e+03    7.2829e+03    6.3561e+03
CEC2017_F21             1.7324e+03    4.1951e+04    4.0478e+03    8.6866e+03    1.6285e+04    1.5832e+04    6.2173e+03    3.0114e+04    6.6125e+03
CEC2017_F22             3.0614e+03    6.4247e+04    1.6636e+04    1.0425e+04    2.1089e+04    1.1678e+04    4.3452e+03    3.4705e+04    1.3375e+04
CEC2017_F23             1.9591e+02    3.2707e+02    3.1376e+02    2.6505e+02    7.8092e+02    4.9768e+02    3.1679e+02    5.8113e+02    4.5177e+02
CEC2017_F24             1.3987e+02    7.0544e+02    3.6932e+02    2.1176e+02    8.7782e+02    9.0463e+02    2.1865e+02    8.1621e+02    4.5565e+02
CEC2017_F25             6.1540e+02    8.2138e+02    5.8527e+02    9.6442e+02    1.2535e+03    2.0133e+03    2.1112e+02    1.1326e+03    6.2995e+02
CEC2017_F26             2.9446e+02    1.6804e+03    8.1983e+02    7.4707e+02    9.5232e+02    2.0016e+03    3.3100e+02    2.0685e+03    6.9646e+02
CEC2017_F27             3.8062e+02    1.2124e+03    1.6092e+03    5.3422e+02    1.5509e+03    2.0980e+03    6.1219e+02    2.0738e+03    1.6079e+03
CEC2017_F28             4.6985e+02    3.4740e+03    1.0826e+03    1.1250e+03    2.9505e+03    1.4310e+03    4.8916e+02    2.8877e+03    8.3584e+02
CEC2017_F29             1.1473e+03    1.3433e+03    1.5092e+03    6.8999e+02    2.6744e+03    3.6128e+03    8.5338e+02    3.5376e+03    2.3140e+03
CEC2017_F30             6.5107e+02    2.7872e+03    7.1268e+02    1.3565e+03    6.2191e+03    2.3076e+03    8.3667e+02    3.0065e+03    1.4178e+03
